ID,Value1,Value2
473,0xfa,0xfe
473,0xfc,0xfe
473,0xff,0xfe
494,0x9f,0x9d
495,0xf4,0xb4
496,0xfa,0xfe
496,0xfc,0xfe
496,0xff,0xfe
497,0xdf,0xff
497,0xfb,0xff
497,0xfd,0xff
497,0xfe,0xff
510,0x17,0x1f
510,0x9f,0x1f
517,0xfa,0xfe
524,0xce,0xde
524,0xd6,0xde
52,0x0b,0x8b
538,0xcb,0xc3
539,0x41,0x01
550,0xcc,0xec
555,0x82,0x80
555,0x90,0x80
572,0x60,0x40
573,0xdf,0xff
573,0xfb,0xff
573,0xfd,0xff
574,0xdf,0xff
574,0xfb,0xff
574,0xfd,0xff
574,0xfe,0xff
57,0xb5,0xbd
580,0xdf,0xff
580,0xfb,0xff
580,0xfd,0xff
580,0xfe,0xff
581,0xdf,0xff
581,0xfb,0xff
581,0xfd,0xff
581,0xfe,0xff
591,0x98,0x88
603,0x9f,0x9d
604,0x60,0x20
605,0xdf,0xff
605,0xfb,0xff
605,0xfd,0xff
605,0xfe,0xff
606,0xdf,0xff
606,0xfb,0xff
606,0xfd,0xff
606,0xfe,0xff
610,0x98,0xb8
611,0xc4,0xc0
625,0xfa,0xfe
625,0xfc,0xfe
626,0xdf,0xff
626,0xfb,0xff
626,0xfd,0xff
626,0xfe,0xff
629,0x06,0x02
629,0x42,0x02
632,0x8f,0x8d
632,0x9d,0x8d
633,0x61,0x60
634,0xdf,0xff
634,0xfb,0xff
634,0xfd,0xff
635,0xdf,0xff
635,0xfb,0xff
635,0xfd,0xff
635,0xfe,0xff
645,0x98,0xb8
646,0x82,0x80
646,0x90,0x80
654,0x60,0x40
658,0xcf,0xdf
668,0xc9,0xd9
670,0xda,0xde
672,0xfe,0xff
676,0xf8,0xb8
677,0xff,0xfe
687,0x98,0x90
688,0xfc,0xfe
688,0xff,0xfe
692,0x82,0x86
693,0x8f,0xaf
702,0xdf,0xff
702,0xfb,0xff
702,0xfe,0xff
726,0x90,0xb0
735,0x90,0x10
80,0x45,0x44
854,0xc4,0xc0
855,0xfa,0xfe
855,0xfc,0xfe
855,0xff,0xfe
856,0xdf,0xff
856,0xfb,0xff
856,0xfd,0xff
856,0xfe,0xff
862,0x90,0xd0
862,0xd4,0xd0
863,0xfa,0xfe
863,0xfc,0xfe
863,0xff,0xfe
864,0xdf,0xff
864,0xfb,0xff
864,0xfd,0xff
864,0xfe,0xff
870,0x60,0xe0
871,0xfa,0xfe
871,0xfc,0xfe
871,0xff,0xfe
872,0xdf,0xff
872,0xfb,0xff
872,0xfd,0xff
872,0xfe,0xff
881,0x9d,0xbd
882,0xf1,0xf0
882,0xf4,0xf0
882,0xf8,0xf0
883,0xfa,0xfe
883,0xfc,0xfe
883,0xff,0xfe
884,0xdf,0xff
884,0xfb,0xff
884,0xfd,0xff
884,0xfe,0xff
893,0x06,0x02
899,0xdf,0xff
899,0xfb,0xff
899,0xfd,0xff
899,0xfe,0xff
900,0xdf,0xff
900,0xfb,0xff
900,0xfd,0xff
900,0xfe,0xff
906,0x06,0x02
907,0x90,0x10
912,0x90,0x10
913,0xdf,0xff
913,0xfb,0xff
913,0xfd,0xff
913,0xfe,0xff
914,0xdf,0xff
914,0xfb,0xff
914,0xfd,0xff
914,0xfe,0xff
920,0x06,0x02
921,0x60,0x20
926,0x60,0x20
927,0xdf,0xff
927,0xfb,0xff
927,0xfd,0xff
927,0xfe,0xff
928,0xdf,0xff
928,0xfb,0xff
928,0xfd,0xff
928,0xfe,0xff
934,0x06,0x02
939,0x9d,0xbd
941,0xdf,0xff
941,0xfb,0xff
941,0xfd,0xff
941,0xfe,0xff
942,0xdf,0xff
942,0xfb,0xff
942,0xfd,0xff
942,0xfe,0xff
948,0x06,0x02
949,0x60,0x40
954,0x60,0x40
955,0xdf,0xff
955,0xfb,0xff
955,0xfd,0xff
955,0xfe,0xff
956,0xdf,0xff
956,0xfb,0xff
956,0xfd,0xff
956,0xfe,0xff
962,0x06,0x02
969,0xdf,0xff
969,0xfb,0xff
969,0xfd,0xff
969,0xfe,0xff
970,0xdf,0xff
970,0xfb,0xff
970,0xfd,0xff
970,0xfe,0xff
976,0x06,0x02
977,0x61,0x60
982,0x61,0x60
983,0xdf,0xff
983,0xfb,0xff
983,0xfd,0xff
983,0xfe,0xff
984,0xdf,0xff
984,0xfb,0xff
984,0xfd,0xff
984,0xfe,0xff
990,0x06,0x02
991,0x60,0x70
995,0x9d,0xbd
996,0x60,0x70
997,0xdf,0xff
997,0xfb,0xff
997,0xfd,0xff
997,0xfe,0xff
998,0xdf,0xff
998,0xfb,0xff
998,0xfd,0xff
998,0xfe,0xff
