2,0x9e,0x1e
191,0x96,0x94
191,0x90,0x94
191,0x84,0x94
191,0xb4,0x94
191,0xd4,0x94
191,0x14,0x94
192,0xff,0xfe
192,0xfc,0xfe
192,0xfa,0xfe
192,0xf6,0xfe
192,0xee,0xfe
192,0xde,0xfe
192,0xbe,0xfe
192,0x7e,0xfe
193,0xfe,0xff
193,0xfd,0xff
193,0xfb,0xff
193,0xf7,0xff
193,0xef,0xff
193,0xdf,0xff
193,0xbf,0xff
195,0x01,0x00
195,0x02,0x00
195,0x04,0x00
195,0x08,0x00
195,0x10,0x00
195,0x20,0x00
195,0x40,0x00
195,0x80,0x00
196,0x01,0x00
196,0x02,0x00
196,0x04,0x00
196,0x08,0x00
196,0x10,0x00
196,0x20,0x00
196,0x40,0x00
196,0x80,0x00
197,0x01,0x00
197,0x02,0x00
197,0x04,0x00
197,0x08,0x00
197,0x10,0x00
197,0x20,0x00
197,0x40,0x00
197,0x80,0x00
198,0x01,0x00
198,0x02,0x00
198,0x04,0x00
198,0x08,0x00
198,0x10,0x00
198,0x20,0x00
198,0x40,0x00
198,0x80,0x00
201,0x81,0x80
205,0x01,0x00
205,0x02,0x00
205,0x04,0x00
205,0x08,0x00
205,0x10,0x00
205,0x20,0x00
205,0x40,0x00
205,0x80,0x00
206,0x01,0x00
209,0x0d,0x8d
210,0x40,0x42
210,0x46,0x42
210,0x4a,0x42
210,0x52,0x42
211,0xfc,0xfd
211,0xff,0xfd
211,0xf5,0xfd
211,0xed,0xfd
211,0xdd,0xfd
211,0xbd,0xfd
211,0x7d,0xfd
213,0xc0,0xc1
213,0xc3,0xc1
213,0xc9,0xc1
213,0xd1,0xc1
213,0xe1,0xc1
214,0x88,0x89
214,0x8b,0x89
214,0x8d,0x89
214,0x09,0x89
215,0x87,0x85
215,0x95,0x85
215,0xa5,0x85
216,0x91,0x90
216,0x92,0x90
216,0x94,0x90
216,0x80,0x90
216,0xb0,0x90
216,0xd0,0x90
216,0x10,0x90
217,0xff,0xfe
217,0xfc,0xfe
217,0xfa,0xfe
217,0xf6,0xfe
217,0xee,0xfe
217,0xde,0xfe
217,0xbe,0xfe
217,0x7e,0xfe
218,0xfe,0xff
218,0xfd,0xff
218,0xfb,0xff
218,0xf7,0xff
218,0xef,0xff
218,0xdf,0xff
218,0xbf,0xff
220,0xb9,0xb8
221,0x00,0x01
221,0x03,0x01
221,0x05,0x01
221,0x09,0x01
221,0x11,0x01
221,0x21,0x01
221,0x41,0x01
221,0x81,0x01
222,0x01,0x00
222,0x02,0x00
222,0x04,0x00
222,0x08,0x00
222,0x10,0x00
222,0x20,0x00
222,0x40,0x00
222,0x80,0x00
223,0x01,0x00
223,0x02,0x00
223,0x04,0x00
223,0x08,0x00
223,0x10,0x00
223,0x20,0x00
223,0x40,0x00
223,0x80,0x00
224,0x01,0x00
224,0x02,0x00
224,0x04,0x00
224,0x08,0x00
224,0x10,0x00
224,0x20,0x00
224,0x40,0x00
227,0xb5,0xb4
227,0xb0,0xb4
231,0x01,0x00
231,0x02,0x00
231,0x04,0x00
231,0x08,0x00
231,0x10,0x00
231,0x20,0x00
231,0x40,0x00
231,0x80,0x00
232,0x01,0x00
234,0x08,0x00
234,0x10,0x00
234,0x20,0x00
234,0x40,0x00
234,0x80,0x00
235,0xd1,0xd3
235,0xdb,0xd3
236,0xe1,0xe0
236,0xe8,0xe0
238,0xe9,0xe8
238,0xea,0xe8
238,0xe0,0xe8
238,0xf8,0xe8
238,0xc8,0xe8
239,0x00,0x01
239,0x03,0x01
239,0x05,0x01
239,0x09,0x01
239,0x11,0x01
239,0x21,0x01
239,0x41,0x01
239,0x81,0x01
240,0x88,0x89
240,0x8b,0x89
240,0x8d,0x89
240,0x09,0x89
241,0x87,0x85
241,0x8d,0x85
241,0x95,0x85
241,0xa5,0x85
242,0x85,0x84
242,0x86,0x84
242,0x80,0x84
242,0x94,0x84
242,0xa4,0x84
242,0xc4,0x84
242,0x04,0x84
243,0xff,0xfe
243,0xfc,0xfe
243,0xfa,0xfe
243,0xf6,0xfe
243,0xee,0xfe
243,0xde,0xfe
243,0xbe,0xfe
243,0x7e,0xfe
244,0xfe,0xff
244,0xfd,0xff
244,0xfb,0xff
244,0xf7,0xff
244,0xef,0xff
244,0xdf,0xff
244,0xbf,0xff
249,0xc1,0xc0
249,0xc2,0xc0
249,0xc4,0xc0
249,0xc8,0xc0
250,0xfc,0xfe
250,0xfa,0xfe
250,0xf6,0xfe
250,0xee,0xfe
250,0xde,0xfe
250,0xbe,0xfe
250,0x7e,0xfe
251,0xfe,0xff
251,0xfd,0xff
251,0xfb,0xff
251,0xf7,0xff
251,0xef,0xff
251,0xdf,0xff
251,0xbf,0xff
254,0x09,0x89
255,0xa5,0x85
262,0xfe,0xff
262,0xfd,0xff
262,0xfb,0xff
264,0x8d,0x85
264,0x95,0x85
270,0x9f,0x9d
272,0xff,0xfe
272,0xfc,0xfe
272,0xfa,0xfe
273,0xfe,0xff
273,0xfd,0xff
273,0xfb,0xff
273,0xdf,0xff
278,0x90,0x94
278,0x9c,0x94
278,0xd4,0x94
279,0xff,0xfe
279,0xfc,0xfe
279,0xfa,0xfe
280,0xfe,0xff
280,0xfd,0xff
280,0xfb,0xff
280,0xdf,0xff
318,0x16,0x14
319,0xea,0xeb
319,0xfb,0xeb
319,0xcb,0xeb
320,0xdf,0xff
324,0xf8,0x78
325,0xff,0xfe
325,0xfc,0xfe
325,0xfa,0xfe
326,0xfe,0xff
326,0xfd,0xff
326,0xfb,0xff
326,0xdf,0xff
329,0x9f,0x9d
329,0x99,0x9d
330,0xfc,0xbc
331,0xff,0xfe
331,0xfc,0xfe
331,0xfa,0xfe
332,0xfe,0xff
332,0xfd,0xff
332,0xfb,0xff
332,0xdf,0xff
336,0xf8,0xb8
337,0xff,0xfe
337,0xfc,0xfe
337,0xfa,0xfe
338,0xfe,0xff
338,0xfd,0xff
338,0xfb,0xff
338,0xdf,0xff
363,0x90,0xb0
383,0xfe,0xff
383,0xfd,0xff
383,0xfb,0xff
383,0xdf,0xff
389,0x40,0x00
395,0x90,0x80
396,0xff,0xfe
396,0xfc,0xfe
396,0xfa,0xfe
397,0xfe,0xff
397,0xfd,0xff
397,0xfb,0xff
397,0xdf,0xff
407,0xc3,0xc2
407,0xc6,0xc2
410,0xf4,0xb4
411,0xff,0xfe
411,0xfc,0xfe
411,0xfa,0xfe
412,0xfe,0xff
412,0xfd,0xff
412,0xfb,0xff
412,0xdf,0xff
417,0xfd,0xed
424,0x98,0xb8
424,0xf8,0xb8
425,0xff,0xfe
425,0xfc,0xfe
425,0xfa,0xfe
426,0xfe,0xff
426,0xfd,0xff
426,0xfb,0xff
426,0xdf,0xff
430,0xf9,0xf8
430,0xfa,0xf8
430,0xfc,0xf8
438,0x9d,0x95
439,0xc4,0x84
440,0xff,0xfe
440,0xfc,0xfe
440,0xfa,0xfe
441,0xfe,0xff
441,0xfd,0xff
441,0xfb,0xff
441,0xdf,0xff
444,0x9d,0x95
445,0x90,0x94
445,0x9c,0x94
445,0xd4,0x94
446,0xff,0xfe
446,0xfc,0xfe
446,0xfa,0xfe
447,0xfe,0xff
447,0xfd,0xff
447,0xfb,0xff
447,0xdf,0xff
453,0xc4,0xc5
463,0xfc,0xbc
464,0xff,0xfe
464,0xfc,0xfe
464,0xfa,0xfe
465,0xfe,0xff
465,0xfd,0xff
465,0xfb,0xff
465,0xdf,0xff
469,0xea,0xe8
469,0xf8,0xe8
471,0x8f,0x8d
471,0x9d,0x8d
472,0x9c,0xbc
472,0xfc,0xbc
473,0xff,0xfe
473,0xfc,0xfe
473,0xfa,0xfe
474,0xfe,0xff
474,0xfd,0xff
474,0xfb,0xff
474,0xdf,0xff
482,0xfc,0xfe
482,0xfa,0xfe
494,0x9f,0x9d
495,0xf4,0xb4
496,0xff,0xfe
496,0xfc,0xfe
496,0xfa,0xfe
497,0xfe,0xff
497,0xfd,0xff
497,0xfb,0xff
497,0xdf,0xff
510,0x17,0x1f
510,0x9f,0x1f
517,0xfa,0xfe
524,0xd6,0xde
524,0xce,0xde
538,0xcb,0xc3
539,0x41,0x01
550,0xfc,0xec
550,0xcc,0xec
555,0x82,0x80
555,0x90,0x80
557,0xd9,0xd1
572,0x60,0x40
573,0xfd,0xff
573,0xfb,0xff
573,0xdf,0xff
574,0xfe,0xff
574,0xfd,0xff
574,0xfb,0xff
574,0xdf,0xff
580,0xfe,0xff
580,0xfd,0xff
580,0xfb,0xff
580,0xdf,0xff
581,0xfe,0xff
581,0xfd,0xff
581,0xfb,0xff
581,0xdf,0xff
591,0x98,0x88
603,0x9f,0x9d
604,0x60,0x20
605,0xfe,0xff
605,0xfd,0xff
605,0xfb,0xff
605,0xdf,0xff
606,0xfe,0xff
606,0xfd,0xff
606,0xfb,0xff
606,0xdf,0xff
610,0x98,0xb8
611,0xc4,0xc0
625,0xfc,0xfe
625,0xfa,0xfe
626,0xfe,0xff
626,0xfd,0xff
626,0xfb,0xff
626,0xdf,0xff
629,0x06,0x02
629,0x42,0x02
632,0x8f,0x8d
632,0x9d,0x8d
633,0x61,0x60
634,0xfd,0xff
634,0xfb,0xff
634,0xdf,0xff
635,0xfe,0xff
635,0xfd,0xff
635,0xfb,0xff
635,0xdf,0xff
645,0x98,0xb8
646,0x82,0x80
646,0x90,0x80
654,0x60,0x40
658,0xcf,0xdf
668,0xc9,0xd9
670,0xda,0xde
672,0xfe,0xff
676,0xf8,0xb8
677,0xff,0xfe
677,0xfc,0xfe
677,0xfa,0xfe
678,0xfe,0xff
678,0xfd,0xff
678,0xfb,0xff
678,0xdf,0xff
682,0xd4,0xc4
687,0x98,0x90
688,0xff,0xfe
688,0xfc,0xfe
692,0x82,0x86
693,0x8f,0xaf
701,0xfa,0xfe
702,0xfe,0xff
702,0xfd,0xff
702,0xfb,0xff
702,0xdf,0xff
706,0xd9,0xd8
726,0x90,0xb0
735,0x90,0x10
778,0x98,0xb8
778,0xf8,0xb8
779,0xff,0xfe
779,0xfc,0xfe
779,0xfa,0xfe
780,0xfe,0xff
780,0xfd,0xff
780,0xfb,0xff
780,0xdf,0xff
784,0xea,0xfa
786,0xea,0xe2
797,0x06,0x07
797,0x17,0x07
797,0x27,0x07
799,0xf1,0xf0
799,0xf8,0xf0
803,0x90,0x80
805,0xfe,0xff
805,0xfd,0xff
805,0xfb,0xff
805,0xdf,0xff
809,0x07,0x05
825,0x90,0x10
829,0x06,0x02
846,0x98,0x88
854,0xc4,0xc0
855,0xff,0xfe
855,0xfc,0xfe
855,0xfa,0xfe
856,0xfe,0xff
856,0xfd,0xff
856,0xfb,0xff
856,0xdf,0xff
862,0xd4,0xd0
862,0x90,0xd0
863,0xff,0xfe
863,0xfc,0xfe
863,0xfa,0xfe
864,0xfe,0xff
864,0xfd,0xff
864,0xfb,0xff
864,0xdf,0xff
870,0x60,0xe0
871,0xff,0xfe
871,0xfc,0xfe
871,0xfa,0xfe
872,0xfe,0xff
872,0xfd,0xff
872,0xfb,0xff
872,0xdf,0xff
876,0xea,0xe2
881,0x9d,0xbd
882,0xf1,0xf0
882,0xf4,0xf0
882,0xf8,0xf0
883,0xff,0xfe
883,0xfc,0xfe
883,0xfa,0xfe
884,0xfe,0xff
884,0xfd,0xff
884,0xfb,0xff
884,0xdf,0xff
893,0x06,0x02
893,0x82,0x02
899,0xfe,0xff
899,0xfd,0xff
899,0xfb,0xff
899,0xdf,0xff
900,0xfe,0xff
900,0xfd,0xff
900,0xfb,0xff
900,0xdf,0xff
906,0x06,0x02
906,0x82,0x02
907,0x90,0x10
912,0x90,0x10
913,0xfe,0xff
913,0xfd,0xff
913,0xfb,0xff
913,0xdf,0xff
914,0xfe,0xff
914,0xfd,0xff
914,0xfb,0xff
914,0xdf,0xff
920,0x06,0x02
920,0x82,0x02
921,0x60,0x20
926,0x60,0x20
927,0xfe,0xff
927,0xfd,0xff
927,0xfb,0xff
927,0xdf,0xff
928,0xfe,0xff
928,0xfd,0xff
928,0xfb,0xff
928,0xdf,0xff
934,0x06,0x02
934,0x82,0x02
939,0x9d,0xbd
941,0xfe,0xff
941,0xfd,0xff
941,0xfb,0xff
941,0xdf,0xff
942,0xfe,0xff
942,0xfd,0xff
942,0xfb,0xff
942,0xdf,0xff
948,0x06,0x02
948,0x42,0x02
948,0x82,0x02
949,0x60,0x40
954,0x60,0x40
955,0xfe,0xff
955,0xfd,0xff
955,0xfb,0xff
955,0xdf,0xff
956,0xfe,0xff
956,0xfd,0xff
956,0xfb,0xff
956,0xdf,0xff
962,0x06,0x02
962,0x82,0x02
969,0xfe,0xff
969,0xfd,0xff
969,0xfb,0xff
969,0xdf,0xff
970,0xfe,0xff
970,0xfd,0xff
970,0xfb,0xff
970,0xdf,0xff
976,0x06,0x02
976,0x82,0x02
977,0x61,0x60
982,0x61,0x60
983,0xfe,0xff
983,0xfd,0xff
983,0xfb,0xff
983,0xdf,0xff
984,0xfe,0xff
984,0xfd,0xff
984,0xfb,0xff
984,0xdf,0xff
990,0x06,0x02
990,0x82,0x02
991,0x60,0x70
995,0x9d,0xbd
996,0x60,0x70
997,0xfe,0xff
997,0xfd,0xff
997,0xfb,0xff
997,0xdf,0xff
998,0xfe,0xff
998,0xfd,0xff
998,0xfb,0xff
998,0xdf,0xff
1004,0x06,0x02
1004,0x82,0x02
1005,0x82,0x80
1005,0x90,0x80
1011,0x7f,0x6f
1012,0x67,0x65
1012,0x61,0x65
1012,0x6d,0x65
1012,0x75,0x65
1012,0x45,0x65
1013,0x81,0x80
1013,0x82,0x80
1013,0x84,0x80
1013,0x88,0x80
1013,0x90,0x80
1013,0xa0,0x80
1013,0xc0,0x80
1013,0x00,0x80
1015,0x7a,0xfa
1016,0x7e,0x7f
1016,0x6f,0x7f
1016,0x5f,0x7f
1017,0xa4,0xac
1017,0xbc,0xac
1017,0x8c,0xac
1018,0x06,0x02
1018,0x22,0x02
1018,0x82,0x02
1019,0x91,0x90
1019,0x92,0x90
1019,0x94,0x90
1019,0x98,0x90
1019,0x80,0x90
1019,0xb0,0x90
1019,0xd0,0x90
1019,0x10,0x90
1020,0x01,0x00
1020,0x02,0x00
1020,0x04,0x00
1020,0x10,0x00
1020,0x20,0x00
1024,0x7a,0xfa
1025,0x7f,0x6f
1026,0x6f,0x6d
1026,0x69,0x6d
1026,0x65,0x6d
1026,0x7d,0x6d
1026,0x4d,0x6d
1026,0xed,0x6d
1027,0x91,0x90
1027,0x92,0x90
1027,0x94,0x90
1027,0x98,0x90
1027,0x80,0x90
1027,0xb0,0x90
1027,0xd0,0x90
1027,0x10,0x90
1029,0x7a,0xfa
1030,0x7e,0x7f
1030,0x6f,0x7f
1030,0x5f,0x7f
1031,0xbc,0xb4
1031,0xa4,0xb4
1031,0x94,0xb4
1032,0x06,0x02
1032,0x22,0x02
1032,0x42,0x02
1032,0x82,0x02
1033,0xa1,0xa0
1033,0xa2,0xa0
1033,0xa4,0xa0
1033,0xa8,0xa0
1033,0xb0,0xa0
1033,0x80,0xa0
1033,0xe0,0xa0
1033,0x20,0xa0
1034,0x01,0x00
1034,0x02,0x00
1034,0x04,0x00
1034,0x08,0x00
1034,0x20,0x00
1038,0x7a,0xfa
1039,0x7f,0x6f
1040,0x77,0x75
1040,0x71,0x75
1040,0x7d,0x75
1040,0x65,0x75
1040,0x55,0x75
1041,0xa1,0xa0
1041,0xa2,0xa0
1041,0xa4,0xa0
1041,0xa8,0xa0
1041,0xb0,0xa0
1041,0x80,0xa0
1041,0xe0,0xa0
1041,0x20,0xa0
1043,0x7a,0xfa
1044,0x7e,0x7f
1044,0x6f,0x7f
1044,0x5f,0x7f
1045,0xb4,0xbc
1045,0xac,0xbc
1045,0x9c,0xbc
1046,0x06,0x02
1046,0x22,0x02
1046,0x82,0x02
1047,0xb1,0xb0
1047,0xb2,0xb0
1047,0xb4,0xb0
1047,0xb8,0xb0
1047,0xa0,0xb0
1047,0x90,0xb0
1047,0xf0,0xb0
1047,0x30,0xb0
1048,0x01,0x00
1048,0x02,0x00
1048,0x04,0x00
1048,0x10,0x00
1048,0x20,0x00
1052,0x7a,0xfa
1053,0x7f,0x6f
1054,0x7f,0x7d
1054,0x79,0x7d
1054,0x75,0x7d
1054,0x6d,0x7d
1054,0x5d,0x7d
1055,0xb1,0xb0
1055,0xb2,0xb0
1055,0xb4,0xb0
1055,0xb8,0xb0
1055,0xa0,0xb0
1055,0x90,0xb0
1055,0xf0,0xb0
1055,0x30,0xb0
1057,0x7a,0xfa
1058,0x7e,0x7f
1058,0x6f,0x7f
1058,0x5f,0x7f
1059,0xac,0xa4
1059,0xb4,0xa4
1059,0x84,0xa4
1060,0x06,0x02
1060,0x22,0x02
1060,0x42,0x02
1060,0x82,0x02
1061,0xc1,0xc0
1061,0xc2,0xc0
1061,0xc4,0xc0
1061,0xc8,0xc0
1061,0xd0,0xc0
1061,0xe0,0xc0
1061,0x80,0xc0
1061,0x40,0xc0
1062,0x01,0x00
1062,0x02,0x00
1062,0x04,0x00
1062,0x08,0x00
1062,0x10,0x00
1062,0x20,0x00
1066,0x7a,0xfa
1067,0x7e,0x7f
1067,0x6f,0x7f
1067,0x5f,0x7f
1068,0xa4,0xac
1068,0xbc,0xac
1068,0x8c,0xac
1069,0x06,0x02
1069,0x22,0x02
1069,0x42,0x02
1069,0x82,0x02
1070,0xd1,0xd0
1070,0xd2,0xd0
1070,0xd4,0xd0
1070,0xd8,0xd0
1070,0xc0,0xd0
1070,0xf0,0xd0
1070,0x90,0xd0
1070,0x50,0xd0
1071,0x01,0x00
1071,0x02,0x00
1071,0x04,0x00
1071,0x08,0x00
1071,0x10,0x00
1071,0x20,0x00
1075,0x7a,0xfa
1076,0x7e,0x7f
1076,0x6f,0x7f
1076,0x5f,0x7f
1077,0xbc,0xb4
1077,0xa4,0xb4
1077,0x94,0xb4
1078,0x06,0x02
1078,0x22,0x02
1078,0x82,0x02
1079,0xe1,0xe0
1079,0xe2,0xe0
1079,0xe4,0xe0
1079,0xe8,0xe0
1079,0xf0,0xe0
1079,0xc0,0xe0
1079,0xa0,0xe0
1079,0x60,0xe0
1080,0x01,0x00
1080,0x02,0x00
1080,0x04,0x00
1080,0x10,0x00
1080,0x20,0x00
1084,0xfe,0xfa
1084,0x7a,0xfa
1085,0x7e,0x7f
1085,0x6f,0x7f
1085,0x5f,0x7f
1086,0xb4,0xbc
1086,0xac,0xbc
1086,0x9c,0xbc
1087,0x06,0x02
1087,0x22,0x02
1087,0x82,0x02
1088,0xf1,0xf0
1088,0xf2,0xf0
1088,0xf4,0xf0
1088,0xf8,0xf0
1088,0xe0,0xf0
1088,0xd0,0xf0
1088,0xb0,0xf0
1088,0x70,0xf0
1089,0x01,0x00
1089,0x02,0x00
1089,0x04,0x00
1089,0x10,0x00
1089,0x20,0x00
